"No","Yes",""
0.98204432993219,0.0179556700678097,1171
0.677304260166482,0.322695739833518,1172
0.484756935351897,0.515243064648103,1173
0.999702159237035,0.000297840762965431,1174
0.985587059420468,0.0144129405795315,1175
0.990380445972772,0.00961955402722799,1176
0.923083162890821,0.0769168371091793,1177
0.998993105752659,0.00100689424734103,1178
0.929201199764966,0.0707988002350336,1179
0.861211247564614,0.138788752435386,1180
0.588659113008867,0.411340886991133,1181
0.511785246941518,0.488214753058482,1182
0.988721156346583,0.0112788436534172,1183
0.99998732100385,1.26789961499217e-05,1184
0.790220714132004,0.209779285867996,1185
0.98214914543089,0.0178508545691098,1186
0.891247258611653,0.108752741388347,1187
0.999972031586518,2.79684134821186e-05,1188
0.930408636254724,0.069591363745276,1189
0.994838032816763,0.00516196718323723,1190
0.283170026101695,0.716829973898305,1191
0.999985889746515,1.4110253484867e-05,1192
0.913938154912575,0.0860618450874249,1193
0.438480994998737,0.561519005001263,1194
0.980435345228226,0.0195646547717741,1195
0.977487851768366,0.0225121482316341,1196
0.382376235846698,0.617623764153302,1197
0.0408766315559347,0.959123368444065,1198
0.45392048815291,0.54607951184709,1199
0.369264337125371,0.630735662874629,1200
0.182812076572656,0.817187923427343,1201
0.993328114581679,0.00667188541832138,1202
0.975114450784427,0.0248855492155726,1203
0.262202742362891,0.737797257637108,1204
0.139964383286077,0.860035616713923,1205
0.515853894565974,0.484146105434026,1206
0.997771843388073,0.00222815661192674,1207
0.940629857795146,0.0593701422048543,1208
0.999981979759637,1.80202403633926e-05,1209
0.999941286735276,5.87132647243824e-05,1210
0.507017724322994,0.492982275677006,1211
0.477860183363064,0.522139816636936,1212
0.999823998752168,0.00017600124783221,1213
0.999756895474347,0.000243104525652861,1214
0.16838215678841,0.83161784321159,1215
0.999997618575195,2.38142480528031e-06,1216
0.999868628903627,0.000131371096373001,1217
0.626870559562324,0.373129440437676,1218
0.42010931236276,0.57989068763724,1219
0.877886073654029,0.122113926345971,1220
0.999994091146632,5.9088533678841e-06,1221
0.766804041071426,0.233195958928574,1222
0.935398927977492,0.0646010720225084,1223
0.986092315722825,0.0139076842771752,1224
0.996494476105946,0.0035055238940541,1225
0.999992804416556,7.19558344448117e-06,1226
0.78871874250261,0.211281257497391,1227
0.828826060875778,0.171173939124221,1228
0.954250469314716,0.0457495306852837,1229
0.355677380873459,0.644322619126541,1230
0.99999964772427,3.52275730390038e-07,1231
0.870997959329011,0.129002040670989,1232
0.020523780557326,0.979476219442674,1233
0.99612948364036,0.00387051635964023,1234
0.972842927740488,0.0271570722595118,1235
0.27994251661231,0.72005748338769,1236
0.999986704552787,1.32954472134473e-05,1237
0.81215025793551,0.18784974206449,1238
0.21746072014355,0.78253927985645,1239
0.555260265078642,0.444739734921358,1240
0.554405951904839,0.445594048095161,1241
0.99650615196319,0.00349384803681009,1242
0.983112744500223,0.016887255499777,1243
0.733251266377043,0.266748733622957,1244
0.974118757046864,0.0258812429531355,1245
0.178261131859791,0.821738868140209,1246
0.977584591906811,0.0224154080931892,1247
0.749258064794453,0.250741935205547,1248
0.933531834789656,0.0664681652103442,1249
0.714988736792171,0.285011263207829,1250
0.933746816342629,0.0662531836573711,1251
0.993703330688313,0.0062966693116875,1252
0.926567454184077,0.0734325458159226,1253
0.977893478263249,0.0221065217367506,1254
0.943969426851153,0.0560305731488464,1255
0.998076009535588,0.00192399046441228,1256
0.999729474144788,0.000270525855212247,1257
0.999961418121989,3.85818780113636e-05,1258
0.937270132472476,0.0627298675275242,1259
0.10924793041538,0.89075206958462,1260
0.993295868383775,0.00670413161622465,1261
0.985059475558382,0.0149405244416182,1262
0.770777297440635,0.229222702559365,1263
0.999930438741961,6.95612580388249e-05,1264
0.837227329531839,0.162772670468161,1265
0.955548713722167,0.0444512862778328,1266
0.981202048067899,0.0187979519321009,1267
0.98757717627325,0.0124228237267496,1268
0.491105646487586,0.508894353512414,1269
0.176936983634175,0.823063016365825,1270
0.961807152643149,0.0381928473568509,1271
